date,open,high,low,close,EMA_21,EMA_50,EMA_200,ST_11_4,ST_DIR_11_4,volume
2026-05-01 17:00:00,289.8,299.3,289.8,294.425,294.425,294.425,294.425,,Up,3
2026-05-01 18:00:00,292.1125,302.8,292.1125,300.275,294.9568181818182,294.65441176470586,294.4832089552239,259.0244318181818,Up,563
2026-05-01 19:00:00,296.19375,303.0,296.19375,301.4,295.5425619834711,294.9189446366782,294.55203274671425,262.1838584710744,Up,342
2026-05-01 20:00:00,298.796875,301.7,298.0,300.15,295.96141998497376,295.1240840626908,294.60773391341365,264.49271224643127,Up,200
2026-05-01 21:00:00,299.4734375,301.5,299.2,300.25,296.3512908954307,295.32510037395787,294.66387586452396,267.37064749675574,Up,100
2026-05-01 22:00:00,299.86171875,300.4,298.6,299.825,296.6670826322097,295.5015670259595,294.7152303335337,268.86422499705066,Up,60
2026-05-01 23:00:00,299.843359375,300.5,299.3,300.025,296.97234784746337,295.67895655435325,294.7680638625533,271.6129318155006,Up,75
2026-05-02 00:00:00,299.9341796875,300.7,299.7,300.35,297.2794071340576,295.8621347286923,294.8236055156622,274.1208471050005,Up,86
2026-05-04 09:00:00,300.14208984375,306.7,300.14208984375,305.2,297.9994610309614,296.2283255236456,294.92685322197406,277.3280295059664,Up,16
2026-05-04 10:00:00,302.671044921875,306.6,302.671044921875,305.725,298.70178275541946,296.60074413056145,295.03429746852163,279.48588841806605,Up,412
2026-05-04 11:00:00,304.1980224609375,307.2,304.1980224609375,306.42499999999995,299.4038934140177,296.98600906661784,295.14763779221795,281.7440793591083,Up,138
2026-05-04 12:00:00,305.31151123046874,306.7,305.31151123046874,306.5,300.0489940127434,297.35910675027986,295.2605966201561,283.72363981598625,Up,40
2026-05-04 13:00:00,305.9057556152344,307.8,305.9057556152344,307.125,300.69226728431215,297.74208295615125,295.3786503851297,285.9075927592951,Up,81
2026-05-04 14:00:00,306.5153778076172,307.9,306.5153778076172,307.325,301.2952429857383,298.1178836245375,295.4975195355264,287.6630216990129,Up,101
2026-05-04 15:00:00,306.9201889038086,307.5,306.6,307.175,301.8297663506712,298.4730646588694,295.6137133709938,288.9548479956403,Up,35
2026-05-04 16:00:00,307.0475944519043,307.5,305.6,306.57500000000005,302.2611512278829,298.79078761342356,295.72278089964067,289.40895272330937,Up,126
2026-05-04 17:00:00,306.81129722595216,306.81129722595216,304.8,305.65,302.56922838898447,299.0597763344658,295.82155919914675,289.491497552002,Up,198
2026-05-04 18:00:00,306.2306486129761,306.8,304.1,305.2,302.8083894445313,299.3005694193887,295.91487701806074,289.6371353991145,Up,140
2026-05-04 19:00:00,305.715324306488,307.8,302.0,305.32500000000005,303.0371722223012,299.5368215990205,296.0085100825577,289.6371353991145,Up,338
2026-05-04 20:00:00,305.52016215324403,311.4,305.52016215324403,308.85,303.5656111111829,299.9020442814119,296.1362861016367,291.26515165440264,Up,404
2026-05-04 21:00:00,307.18508107662205,311.7,307.18508107662205,310.675,304.2119191919844,300.3245131331213,296.2809499215209,292.1689978187014,Up,214
2026-05-04 22:00:00,308.930040538311,311.8,308.930040538311,311.425,304.8676538108949,300.7598263435871,296.43163698697845,293.61817799253254,Up,142
2026-05-04 23:00:00,310.1775202691555,313.7,310.1775202691555,312.15,305.52968528263176,301.2064998203092,296.58803860899854,295.4334563446134,Up,223
2026-05-05 00:00:00,311.16376013457773,312.6,311.16376013457773,312.0,306.1178957114834,301.62977433715986,296.74139145866025,296.35478939807683,Up,94
2026-05-05 09:00:00,311.58188006728886,311.58188006728886,308.1,309.07500000000005,306.38672337407587,301.9217439709967,296.8641139317084,296.35478939807683,Up,23
2026-05-05 10:00:00,310.3284400336445,310.5,308.9,309.45,306.6652030673417,302.2169696976243,296.98934662890537,296.35478939807683,Up,210
2026-05-05 11:00:00,309.88922001682226,309.88922001682226,308.6,309.075,306.8842755157652,302.4859120624233,297.1096018863292,296.35478939807683,Up,47
2026-05-05 12:00:00,309.48211000841115,309.7,308.2,309.025,307.0788868325138,302.74234688350475,297.2281630615896,296.35478939807683,Up,59
2026-05-05 13:00:00,309.2535550042056,309.3,308.3,308.8,307.2353516659216,302.97990190768104,297.3433057176932,296.50618427867323,Up,25
2026-05-05 14:00:00,309.0267775021028,309.0267775021028,307.0,307.79999999999995,307.286683332656,303.1689253622818,297.4473524269699,296.50618427867323,Up,119
2026-05-05 15:00:00,308.41338875105134,309.0,307.5,308.175,307.36743939332365,303.36524201474134,297.55409518889064,296.87435808085297,Up,59
2026-05-05 16:00:00,308.29419437552565,308.9,308.0,308.575,307.4772176302942,303.5695462494574,297.6637559332798,297.7812346189572,Up,50
2026-05-05 17:00:00,308.43459718776285,310.4,307.3,309.1,307.6247433002675,303.78642678869437,297.7775494065805,298.02384965359755,Up,95
2026-05-05 18:00:00,308.76729859388143,310.0,306.6,308.45,307.6997666366068,303.96931201266716,297.8837429448235,298.02384965359755,Up,340
2026-05-05 19:00:00,308.6086492969407,308.6086492969407,306.0,307.35,307.6679696696425,304.10188801217043,297.97793455731284,298.02384965359755,Up,225
2026-05-05 20:00:00,307.9793246484704,307.9793246484704,303.6,306.1,307.5254269724023,304.1802453450265,298.05875112888185,298.02384965359755,Up,334
2026-05-05 21:00:00,307.0396623242352,307.0396623242352,301.8,303.575,307.16629724763845,304.1565102334568,298.1136391773507,298.02384965359755,Up,371
2026-05-05 22:00:00,305.30733116211763,305.30733116211763,301.2,302.375,306.7307247705804,304.08664708704674,298.1560407775761,298.02384965359755,Up,204
2026-05-05 23:00:00,303.8411655810588,303.9,301.6,302.90000000000003,306.38247706416405,304.04011190716255,298.2032443519286,298.02384965359755,Up,140
2026-05-06 00:00:00,303.3705827905294,303.6,302.7,303.17500000000007,306.0908882401491,304.0061859500189,298.25271455738203,298.02384965359755,Up,60
2026-05-06 09:00:00,303.27279139526473,303.27279139526473,300.1,300.77500000000003,305.60762567286287,303.87947277550836,298.2778119249703,298.02384965359755,Up,18
2026-05-06 10:00:00,302.0238956976324,302.0238956976324,300.3,300.79999999999995,305.1705687935117,303.75870913725316,298.30290832372685,298.02384965359755,Up,143
2026-05-06 11:00:00,301.41194784881617,301.41194784881617,300.5,300.9,304.7823352668288,303.6466028965766,298.32875003194846,298.02384965359755,Up,38
2026-05-06 12:00:00,301.15597392440804,301.3,300.6,301.02500000000003,304.44075933348074,303.5437949398481,298.35557838983954,298.02384965359755,Up,28
